l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
l1d_mono_lat,73937408,
l1d_reads,20743979,
l1d_trail_lat,37717598,
l1d_writes,16224725,
t0_hits,36219810,
t0_reads,20593177,
t0_writes,15626633,
t1_hits,195025,
t1_reads,111957,
t1_writes,83068,
t2_hits,327837,
t2_reads,33643,
t2_writes,294194,
t3_hits,226032,
t3_reads,5202,
t3_writes,220830,
